Search Term,Total Unique Searches,% Search Exits,Avg. Search Depth
Smile,68,7.35%,3.41
the kite,68,19.12%,1.87
the weightlifting princess,68,0.00%,2.93
tinku,68,14.71%,1.68
Wimpy kid,68,22.06%,2.44
Aaloo-Maaloo-Kaaloo,67,19.40%,2.12
alphabet,67,14.93%,3.24
ammu's puppy,67,5.97%,2.09
Angry,67,8.96%,3.31
Animal story,67,29.85%,2.45
Behind the lie,67,13.43%,1.55
Croak,67,5.97%,2.34
Doctor,67,11.94%,3.45
dussehra,67,23.88%,1.1
freedom,67,16.42%,2.69
I am not afraid,67,4.48%,2.33
is there anyone like me,67,19.40%,2.76
kitchen,67,7.46%,5.33
kite,67,11.94%,2.73
Plant,67,10.45%,3.1
ruskin bond,67,31.34%,2.63
why do bees buzz,67,13.43%,1.76
aefadu,66,100.00%,0
around the world with a chilli,66,9.09%,2.21
Everyone eats,66,24.24%,1.5
Fairy tales,66,15.15%,3
Hello,66,15.15%,2.53
I love my mom,66,10.61%,2.47
Level3,66,15.15%,3.92
maths at the mela,66,12.12%,1.82
moral story,66,18.18%,3.79
Mystery,66,27.27%,3.41
Ramayan,66,12.12%,2.2
Sniffles,66,9.09%,1.76
spot,66,13.64%,2.18
sudipta sengupta,66,37.88%,3.59
The tree,66,22.73%,2.52
What's that smell,66,21.21%,2.12
azadi,65,7.69%,1.95
Bee and the elephant,65,16.92%,3.2
creatures of old,65,12.31%,3.25
Dance,65,16.92%,2.55
ENGLISH,65,10.77%,3.31
farida plans a feast,65,10.77%,2.09
Garden,65,12.31%,3.06
Lines,65,20.00%,3.02
math stories,65,20.00%,2.65
monster,65,13.85%,3.43
pollution,65,18.46%,2.65
punjabi,65,27.69%,3.02
telugu level3,65,12.31%,1.63
Three for free,65,12.31%,2.51
Vietnamese,65,35.38%,1.45
what's that smell,65,9.23%,2.46
Winter,65,20.00%,2.85
1,64,23.44%,2.66
Air,64,23.44%,2.55
Art is everywhere,64,18.75%,2.78
best foot forward,64,21.88%,2.41
Best foot forward,64,23.44%,2.25
button box,64,17.19%,1.92
chunu munu,64,4.69%,2.72
Circle,64,17.19%,2.2
cleanliness,64,10.94%,3.41
Dragon,64,10.94%,3.48
Farida plans a feast,64,18.75%,2.56
Happy,64,25.00%,2.27
Horror stories,64,25.00%,3.19
I want that,64,20.31%,2.88
My friend,64,15.62%,2.33
the best house of all,64,12.50%,1.89
the three little kittens,64,20.31%,2.44
village,64,10.94%,2.5
you cant find me,64,6.25%,2.61
annual,63,14.29%,3.59
Binti knows her mind,63,6.35%,2.44
colours of nature,63,14.29%,2.14
Corona virus,63,12.70%,3.68
english level 3,63,17.46%,2.78
father,63,25.40%,3.38
first day at school,63,9.52%,2.59
flower,63,15.87%,3.29
fractions,63,34.92%,2.94
Goat,63,6.35%,3.44
Have you seen sundari,63,17.46%,1.52
houses,63,14.29%,2.52
Mangalyaan,63,4.76%,2.1
Shringeri,63,12.70%,3.08
Think before you act,63,19.05%,2.38
Whale in the sky,63,14.29%,3.65
where is my bat,63,19.05%,1.3
White butterfly,63,12.70%,3.1
young or old,63,12.70%,2.95
boochandis,62,6.45%,2.35
Chinese,62,32.26%,2.34
fox,62,11.29%,2.5
Gappu cant dance,62,16.13%,3.69
Geronimo,62,25.81%,2.29
gulli's box of things,62,14.52%,2.44
Horror story,62,24.19%,3.37
mere dost,62,4.84%,3.1
my friend,62,12.90%,1.94
picnic,62,14.52%,2.68
The kite,62,16.13%,2.11
the other way,62,12.90%,1.48
The weightlifting princess,62,20.97%,2.26
Wet or dry,62,14.52%,1.77
City of stories,61,9.84%,2.93
hippo wants to dance,61,4.92%,2.31
letter,61,18.03%,3.49
Listen to my body,61,13.11%,2.34
magic mirror,61,11.48%,3.87
one by two,61,11.48%,2.39
pranav,61,11.48%,1.77
rakhi,61,16.39%,0.77
Scary,61,11.48%,5.49
Sun,61,14.75%,3.25
Teacher,61,18.03%,3.05
The blue umbrella,61,19.67%,3.52
Who is it,61,18.03%,2.44
aie,60,53.33%,0.8
annual hair cut,60,18.33%,2.38
Art,60,26.67%,3.67
Bee and elephant,60,13.33%,2.97
bheema the sleepyhead,60,15.00%,2.38
create,60,5.00%,4.78
drafts,60,6.67%,9.53
food chain,60,33.33%,1.22
french books,60,18.33%,2.65
Hippo wants to dance,60,16.67%,2.62
Level 1 books,60,15.00%,3.82
Level 2 stories,60,16.67%,4.08
Meera and Ameera,60,11.67%,3.33
minecraft,60,8.33%,1.93
ranis first day at school,60,6.67%,1.87
rat and goat,60,13.33%,2.87
smart sona,60,11.67%,2.05
Smell,60,18.33%,3.32
the golden bird,60,8.33%,3.15
Tok tok,60,13.33%,2.55
turkısh,60,48.33%,2.75
Bee,59,11.86%,2.69
ganesha,59,16.95%,1.9
Good habits,59,15.25%,3.97
nani's walk to the park,59,8.47%,2.05
Pig,59,16.95%,2.64
preposition,59,20.34%,2.32
preschool,59,16.95%,4.02
rose aani rokybanatat nisargamitra,59,64.41%,1.71
Solar system,59,25.42%,3.24
spring,59,15.25%,4.19
stem,59,13.56%,3.83
the auto that flew,59,8.47%,1.86
the tiffin gang,59,8.47%,4.22
Aam ka ped,58,8.62%,3.26
anansi,58,3.45%,2.98
elephants,58,25.86%,2.26
Español,58,24.14%,3.19
Father,58,20.69%,2.59
Gajapati,58,18.97%,3.5
happy and sad,58,13.79%,1.55
hello,58,5.17%,2.45
help,58,8.62%,3.91
ikru,58,8.62%,1.53
its all the cats fault,58,10.34%,2.67
Level 4 stories,58,15.52%,2.76
masala chai,58,8.62%,3
My good health charter,58,20.69%,2.55
playtime,58,12.07%,1.74
razia learns to swim,58,12.07%,1.84
Rocket,58,22.41%,3.52
sailing home,58,12.07%,1.88
sound,58,18.97%,2.86
sringari srinivas,58,6.90%,4.33
the magic powder,58,15.52%,2.31
you can't find me,58,10.34%,2.95
A Butterfly Smile,57,12.28%,1.74
aaloo,57,7.02%,2.89
Aeroplane,57,10.53%,2.39
Aloo maloo kaloo,57,10.53%,4.44
Barbie,57,10.53%,3.46
chipko takes root,57,12.28%,1.82
Crocodile,57,10.53%,3.16
deepa akilan,57,24.56%,1.93
eating,57,17.54%,1.44
fire fire,57,14.04%,3.14
Flower,57,24.56%,2.3
ghost stories,57,19.30%,2.91
Kite,57,15.79%,4.46
level 2 english,57,5.26%,2.28
Magic block,57,19.30%,1.93
Megan,57,17.54%,2.7
muft ki kulfi,57,8.77%,2.74
myself,57,15.79%,3.12
Password please,57,14.04%,1.93
sahana makes music,57,14.04%,1.4
see you tomorrow,57,14.04%,2.53
seed,57,21.05%,2.72
Suma,57,5.26%,3.05
T,57,15.79%,2.49
teaching pa,57,12.28%,1.68
the best thing ever,57,8.77%,2.14
The magic powder,57,24.56%,3.09
uh oh,57,7.02%,2.32
Whats neema eating today,57,10.53%,2.93
bengali,56,26.79%,2.91
boat,56,25.00%,2.48
chintu,56,10.71%,2.82
Cindrella,56,30.36%,3.04
cow,56,8.93%,2.39
Fat king and thin dog,56,19.64%,2.54
flashcards,56,10.71%,3.89
Freedom,56,26.79%,3.29
frenc,56,33.93%,4.34
Ganesha,56,25.00%,1.41
gratitude,56,23.21%,2.54
hair,56,17.86%,1.61
Lazy mama,56,19.64%,2.02
Little goat,56,10.71%,2.73
Nest,56,21.43%,1.77
one big cake,56,1.79%,2.16
pranav the pattern detective,56,5.36%,1.75
Raju's first flight,56,17.86%,2.96
Rani's First Day at School,56,5.36%,7.32
sea,56,7.14%,2.2
Short story,56,10.71%,3.98
the red rain coat,56,19.64%,3.48
the royal toothache,56,8.93%,2.43
turtle story,56,10.71%,2.93
who ate all that up,56,5.36%,3.11
who is it,56,14.29%,2.39
Ammachi's,55,20.00%,3.05
bee and the elephant,55,16.36%,2.56
Butterfly smile,55,9.09%,2.62
chunnu,55,9.09%,2.62
chuskit goes to school,55,10.91%,2.02
communication,55,23.64%,2.73
croak,55,7.27%,2.04
eid,55,25.45%,1.38
everything looks new,55,3.64%,2.09
fairy tales,55,25.45%,2.38
Flowers,55,10.91%,3.85
grandmother,55,21.82%,1.75
honesty,55,16.36%,1.64
how i feel,55,9.09%,2.69
How old is muttaji,55,23.64%,1.91
malar's big house,55,12.73%,1.89
Maths at the mela,55,5.45%,2.05
my good health charter,55,10.91%,6.07
Nani's walk to the park,55,18.18%,2.33
owl,55,9.09%,2.75
Park,55,16.36%,3
Rat and goat,55,7.27%,2.75
Robot,55,3.64%,2.84
short stories,55,20.00%,2.89
snakes,55,10.91%,1.96
socks,55,9.09%,2.47
Square,55,20.00%,2.73
tell me now,55,7.27%,3.89
that night,55,7.27%,2.11
the day vegetables came to school,55,43.64%,2.45
the pottering pig,55,5.45%,1.36
Ting Tong,55,1.82%,2.98
toothpaste,55,12.73%,2.85
transportation,55,25.45%,2.04
uma,55,10.91%,1.87
a,54,14.81%,1.8
Bed time stories,54,18.52%,4.17
bee,54,7.41%,2.48
bhoot,54,7.41%,2.96
Big and small,54,9.26%,2.67
Brushing,54,3.70%,2.35
Bunty and Bubbly,54,11.11%,1.8
Cars,54,14.81%,4.91
fire,54,9.26%,2.59
Healthy food,54,20.37%,5.54
horror stories,54,12.96%,3.11
Kannada story,54,22.22%,4.69
Level 2 english,54,7.41%,4.44
madhuri purandare,54,14.81%,5.28
measurement,54,29.63%,3.07
megan,54,9.26%,2.15
mera parivar,54,12.96%,1.69
Nepali,54,31.48%,4.57
pottering pig,54,16.67%,2.11
sai,54,0.00%,11.28
The auto that flew,54,14.81%,2.59
the girl who couldn't stop laughing,54,7.41%,3.8
The laddoo code,54,11.11%,2.61
the tale of the toilet,54,9.26%,2.02
The very wiggly tooth,54,11.11%,2.46
this and that,54,7.41%,1.72
Uma,54,5.56%,2.98
up world down world,54,5.56%,2.11
Watch out the tiger is here,54,57.41%,1.15
A little like you,53,11.32%,2.26
beach,53,18.87%,2.25
binti,53,1.89%,3.19
Books,53,30.19%,2.98
five senses,53,16.98%,2.11
Grade 1,53,26.42%,4.36
miss laya,53,18.87%,2.89
more or less,53,13.21%,3.45
muttaji,53,9.43%,2.43
sahana,53,3.77%,6.62
storyweaver,53,22.64%,3.79
Tell me now,53,18.87%,2.92
three little pigs,53,22.64%,1.53
Tiffin gang,53,15.09%,2.36
toilet,53,11.32%,2.83
uncle owl,53,13.21%,2.19
what is it,53,5.66%,2
Around the world with a chilli,52,19.23%,1.9
arya,52,15.38%,2.94
Avengers,52,11.54%,1.67
boy,52,15.38%,4.65
Bus,52,21.15%,3.67
chipko,52,5.77%,2.21
Cow,52,21.15%,2.62
drawing,52,21.15%,1.67
Everything looks new,52,7.69%,2.75
farmer,52,15.38%,2.33
first day of school,52,17.31%,2.71
Folktales,52,25.00%,3.23
Gappu can’t dance,52,1.92%,2.52
Hair,52,9.62%,2.88
Kannada level 1,52,7.69%,3.71
lines,52,26.92%,2.77
malar,52,7.69%,1.87
marathi books,52,44.23%,1.81
Marathi level 1,52,13.46%,3.79
Music,52,26.92%,3.1
Playtime,52,7.69%,2.62
police,52,9.62%,3.69
raju's first flight,52,5.77%,2.65
rani's first day,52,15.38%,1.56
sad,52,17.31%,2.1
sense organs,52,19.23%,1.9
special nest,52,11.54%,0.9
the seed savers,52,7.69%,2.06
a street or a zoo,51,7.84%,4.18
A street or a zoo,51,7.84%,2.18
Annual,51,17.65%,2.24
Binti,51,15.69%,2.75
Book,51,9.80%,2.94
Colours of nature,51,25.49%,2.69
Come stay with me,51,17.65%,2.2
covid 19,51,7.84%,3.63
Crow,51,11.76%,3.35
Elephant bird,51,17.65%,3.16
Farida,51,9.80%,2.2
Friend,51,23.53%,2.49
giraffe,51,15.69%,1.84
Gulli's Box of Things,51,11.76%,3.57
Hindi storys,51,13.73%,3.04
how do aeroplanes fly,51,11.76%,2.67
kolam,51,13.73%,3.43
ladoo code,51,11.76%,2.47
lara,51,17.65%,2.24
Laundry day,51,17.65%,3.08
leaves,51,13.73%,1.96
Level 3 stories,51,9.80%,4.14
my garden,51,11.76%,2.82
Owl,51,17.65%,3.8
picture books,51,15.69%,4.31
Pranav,51,3.92%,2.51
Rains,51,72.55%,2.37
Rapunzel,51,7.84%,3.18
sailing ships and sinking spoons,51,5.88%,2.02
Sports,51,7.84%,2.67
sundari,51,0.00%,4.33
touch,51,9.80%,1.2
wind,51,17.65%,2.35
Avani and the pea plant,50,6.00%,1.64
Busy Ants,50,6.00%,2.3
busy mother hen,50,20.00%,4.82
Childhelpfoundation,50,60.00%,2.22
chunu,50,0.00%,3.38
cinderella,50,30.00%,1.52
cloud,50,10.00%,5.24
fruit,50,16.00%,3.5
gif,50,8.00%,5.32
good manners,50,8.00%,3.76
grade 1,50,4.00%,3.06
Houses,50,20.00%,2.56
How many,50,14.00%,2.64
I need to hide,50,12.00%,1.28
Laddoo,50,32.00%,1.38
Level4,50,6.00%,3.32
Ma is that you,50,12.00%,3.14
One big cake,50,12.00%,2.18
pishi,50,12.00%,2.02
respect,50,26.00%,1.84
Scratch scratch,50,14.00%,2.74
seeds,50,16.00%,2.64
Sundari,50,4.00%,4.24
Taste,50,14.00%,3.02
twice as tall,50,12.00%,2.24
umbrella,50,20.00%,2.6
ammachi's,49,10.20%,2.49
ammachis amazing machines,49,14.29%,2
Button box,49,20.41%,2.71
cisco,49,20.41%,5.18
classroom,49,10.20%,2.8
climate,49,10.20%,2.9
colourful birds,49,10.20%,2.04
daddy's mo,49,10.20%,4.02
earth day,49,16.33%,2.12
elephant bird,49,10.20%,3.33
fun,49,16.33%,2.33
game,49,24.49%,4.27
Greek,49,36.73%,5
How far is far,49,4.08%,2.39
kamla bhasin,49,12.24%,3.82
Madhuri purandare,49,16.33%,2.82
river,49,10.20%,2.43
roti,49,8.16%,2.84
save water,49,22.45%,2.12
shringeri,49,14.29%,3.43
Tale of the toilet,49,42.86%,1.53
The big funny pink hippo,49,75.51%,1.18
The grand patch up,49,12.24%,4.88
Three little pigs,49,16.33%,2.53
trash,49,6.12%,3.22
walking together,49,14.29%,2.59
wether inside me,49,55.10%,1.08
Zoo,49,20.41%,3.39
aai dudhache tup kase bante,48,79.17%,0.52
All stories,48,25.00%,3.5
autumn,48,18.75%,2.5
Bubbles,48,14.58%,2.67
co,48,52.08%,1.42
dream,48,14.58%,1.77
Dream,48,31.25%,2.44
empathy,48,22.92%,2.15
every tree counts,48,2.08%,2.06
Flying high,48,20.83%,2.17
Happy and sad,48,6.25%,2.6
i want to,48,4.17%,1.75
Indonesia,48,25.00%,9.04
Joy,48,14.58%,3.21
Kindness,48,16.67%,3.29
level 2 stories,48,12.50%,2.42
map,48,22.92%,2.81
me,48,6.25%,4.98
my inside weather,48,10.42%,2.27
oracle,48,18.75%,2.65
power of one,48,16.67%,1.33
Rajiv eipe,48,12.50%,3
shark,48,16.67%,1.94
snow,48,14.58%,2.15
snow white,48,25.00%,1.12
spotathon,48,18.75%,5.52
The best house of all,48,16.67%,2.12
The day the vegetables came to school,48,14.58%,3.31
the magical glasses,48,12.50%,2.98
The tiffin gang,48,6.25%,2.33
tibetan,48,37.50%,4.83
Timmy and pepe,48,25.00%,3.17
Touch,48,12.50%,2.42
Walking together,48,12.50%,2.58
wild animals,48,16.67%,3.73
Wild cat wild cat,48,12.50%,3.69
All jumbled up,47,10.64%,2.06
ameena,47,10.64%,4.3
apple,47,14.89%,3.04
Audio,47,12.77%,5.74
binti knows her mind,47,10.64%,1.7
clock,47,10.64%,2.74
discovering dinosaurs,47,17.02%,2.09
Drone,47,19.15%,4.68
First day of school,47,34.04%,2.66
geronimo,47,8.51%,2.21
Health is wealth,47,23.40%,3.23
Level 3 english,47,17.02%,2.81
level 6,47,8.51%,3.55
ma is that you,47,10.64%,3.34
Matilda,47,27.66%,1.81
my car,47,2.13%,4.47
pets,47,27.66%,2.49
phonics,47,2.13%,3.13
Read,47,12.77%,3.87
rhyming words,47,17.02%,3.23
S,47,14.89%,3.09
scavenger hunt,47,23.40%,2.06
season,47,21.28%,3.68
Sona,47,12.77%,1.51
subtraction,47,36.17%,2.09
The best thing ever,47,4.26%,2.15
the grand patch up,47,6.38%,3.51
The missing bat,47,23.40%,1.87
the right way school,47,10.64%,2.47
what's neema eating today,47,17.02%,1.47
When will amma be back,47,12.77%,2.43
wiggly tooth,47,23.40%,1.21
Aaloo,46,19.57%,2.57
aloo,46,15.22%,2.8
Ameena,46,8.70%,3.15
ammachis,46,21.74%,1.74
Boat,46,15.22%,5.09
chuskit,46,10.87%,4.41
diversity,46,19.57%,2.07
folktale,46,23.91%,4.37
frozen,46,21.74%,1.04
holidays,46,4.35%,3.22
I know,46,13.04%,6.91
Is there anyone like me,46,6.52%,2.74
Lara,46,23.91%,2.54
Lost in internet,46,8.70%,2.98
mahatma gandhi,46,17.39%,1.98
Mission Cycle,46,15.22%,4.54
Money plant,46,17.39%,1.3
nouns,46,17.39%,2.04
Peppa pig,46,15.22%,2.74
Phonics,46,19.57%,3.72
piku's little world,46,6.52%,1.87
Plek plok,46,26.09%,2.37
Rang,46,10.87%,5.57
sahil,46,30.43%,2.98
School ka pehla din,46,28.26%,3.7
Sea,46,19.57%,2.54
The scavenger hunt,46,13.04%,2.07
Turtle story,46,21.74%,2
Vegetable,46,6.52%,4.3
web,46,0.00%,1.65
Whale,46,13.04%,2.48
what happened to the shawl,46,8.70%,2.09
a stitch in time,45,4.44%,1.93
aaloo maaloo kaaloo,45,13.33%,1.82
aaloo maloo kaloo,45,11.11%,1.22
big small,45,4.44%,3.11
butterflies,45,20.00%,2.38
Fawn,45,11.11%,3.04
gajapati kulapati,45,28.89%,2.36
grade 2,45,11.11%,3.91
grandparents,45,11.11%,2.18
Gulli's box of things,45,20.00%,1.93
Just the way I am,45,17.78%,2.56
laugh,45,6.67%,2.87
library,45,11.11%,3.38
malayalam stories,45,13.33%,4.82
Math stories,45,20.00%,4.31
meera,45,8.89%,2.67
Mouse in the House,45,11.11%,2.76
Multiplication,45,24.44%,2.53
My red ball,45,20.00%,3.2
nest,45,15.56%,1.33
number,45,13.33%,3.16
on the metro,45,4.44%,2.71
Rani first day at school,45,17.78%,2.96
read aloud,45,6.67%,4.69
Sahana makes music,45,26.67%,1.93
Sailing ships and sinking spoons,45,15.56%,3.31
satrangi ladke,45,20.00%,2.8
school ka pehla din,45,17.78%,3.82
Smart sona,45,22.22%,3.04
That night,45,22.22%,2.96
The Girl Who Could Not Stop Laughing,45,6.67%,3.38
The Night the Moon Went Missing,45,13.33%,3.42
thirsty crow,45,22.22%,3.47
Thirsty crow,45,22.22%,3.02
white butterfly,45,8.89%,3.07
Aloo,44,9.09%,1.93
Assamese,44,22.73%,4.07
bedtime stories,44,6.82%,3.11
Biography,44,25.00%,2.77
brother,44,4.55%,2.48
brushing,44,13.64%,2.55
Busy ant,44,18.18%,2.14
catch a ride on raindrops,44,0.00%,1.57
Community helper,44,18.18%,1.91
Corona hair,44,20.45%,1.95
disability,44,15.91%,6.02
Eyes,44,4.55%,2.86
galaxy,44,36.36%,1.61
gali ke rang,44,6.82%,1.27
goat,44,11.36%,1.8
healthy,44,15.91%,2.64
Hi,44,18.18%,4.16
i am not afraid,44,9.09%,1.77
joy,44,13.64%,1.66
just like me,44,27.27%,1.39
kali,44,9.09%,1.41
kiswahili,44,29.55%,3.91
lets fly,44,15.91%,1.3
Level,44,15.91%,2.2
level 3 english,44,4.55%,3.5
Level 7,44,13.64%,3.05
Magic mirror,44,22.73%,2.82
Mahatma gandhi,44,31.82%,3.57
marathi stories,44,11.36%,5.82
Marching to freedom,44,11.36%,2.41
Meera,44,11.36%,3.55
no smile today,44,6.82%,2.36
Peacock,44,15.91%,3.61
Penguin,44,27.27%,2.07
Picnic,44,27.27%,2.18
ramayan,44,15.91%,2.41
ravana,44,15.91%,1.8
responsibility,44,27.27%,3.39
sister,44,4.55%,2.41
The magical glasses,44,13.64%,2.52
the missing bat,44,6.82%,2.34
The special painter,44,6.82%,1.93
this is how you count eggs,44,9.09%,1.18
tine,44,6.82%,2
too many banana,44,25.00%,1.84
tooth,44,20.45%,1.32
uma versus upma,44,13.64%,1.11
wheel,44,11.36%,2
Who is our friend,44,13.64%,2.39
All Aboard,43,0.00%,2.16
All about me,43,4.65%,2.88
Alphabet,43,18.60%,2.65
Annual hair cut,43,9.30%,2.74
arun in ruins,43,11.63%,1.86
avani and the pea plant,43,4.65%,1.77
black ant,43,6.98%,2.09
busy ant,43,11.63%,2.19
celebration,43,20.93%,2.91
celebrations,43,13.95%,4.28
Chintu,43,6.98%,3.49
chocolate,43,13.95%,4.23
climate change,43,9.30%,2.4
Five senses,43,9.30%,1.65
golu,43,9.30%,1.79
Good manners,43,25.58%,2.35
I am a puppet,43,4.65%,1.81
independence,43,23.26%,1.37
Laughing,43,4.65%,2.51
level,43,18.60%,3.81
LEVEL 1,43,9.30%,3.72
little by little,43,13.95%,1.28
marathi story,43,32.56%,2.65
marching to freedom,43,4.65%,3.35
Moral,43,20.93%,4.23
New girl,43,20.93%,2.26
nose,43,9.30%,2.16
One by two,43,18.60%,2.58
Reba wants ice cream,43,25.58%,3.79
Red,43,23.26%,3
room to read,43,13.95%,6.02
shringeri srinivas,43,13.95%,3.23
sona,43,9.30%,2.56
suma,43,6.98%,2.88
Sweet and sour,43,23.26%,2.09
Teaching pa,43,11.63%,2.49
The mystery of the cyber friend,43,18.60%,3.3
tom gates,43,20.93%,1.65
Turtle,43,9.30%,2.33
We are all animals,43,23.26%,3.81
what is neema eating today,43,11.63%,3.23
why are bubbles round,43,13.95%,1.33
wordless stories,43,16.28%,5.02
an umbrella for druvi,42,11.90%,1.6
Brave rima,42,7.14%,2.86
chandobachi topi,42,80.95%,1.33
Charlie and the chocolate factory,42,33.33%,2.12
Chunu and munu,42,14.29%,4.88
Chuskit goes to school,42,16.67%,2.38
Clothes,42,16.67%,3.38
Compass box,42,23.81%,2.02
Covid,42,28.57%,3.33
drawing game,42,21.43%,1.57
Fly in Space,42,16.67%,1.88
Folk tales,42,11.90%,4.43
Football,42,7.14%,3.9
foxy,42,7.14%,1.67
Girl,42,14.29%,3.05
Grandparents,42,35.71%,3.43
growing up,42,19.05%,3.67
gujrati,42,38.10%,3.48
Hindi level 4,42,11.90%,3.98
i spy a lake,42,9.52%,1.98
Internet,42,19.05%,2.36
Kaakaasaurus,42,7.14%,1.93
level 4 books,42,2.38%,3.14
light,42,11.90%,1.64
little goat,42,11.90%,1.52
Malars big house,42,14.29%,2.12
matilda,42,30.95%,1.88
Mere dost,42,23.81%,1.86
moral,42,21.43%,4.21
muft ke teen,42,4.76%,2.02
multiplication,42,11.90%,2.43
Mythology,42,16.67%,2.48
navratri,42,11.90%,1.86
No smile today,42,9.52%,3.45
Nose,42,23.81%,2.29
parts of the body,42,11.90%,2.74
Rakhi,42,21.43%,1.02
rama goes to town,42,7.14%,2.02
Scratch scratch scratch,42,33.33%,1.74
Socks,42,7.14%,3.14
sports day,42,11.90%,2.31
the,42,21.43%,2.14
the mystery of the cyber friend,42,14.29%,2.62
The New Girl,42,4.76%,2.86
The three little kittens,42,14.29%,5.81
there is a hole in my galaxy,42,9.52%,2.33
think before you act,42,14.29%,3.36
Tortoise,42,16.67%,2.5
vegetable,42,14.29%,2.62
verbs,42,14.29%,2.62
watch out the tiger is here,42,7.14%,1.48
who stole bhaiya's smile,42,4.76%,2.07
Animal Homes,41,0.00%,3.61
bilingual,41,4.88%,6.02
birthday party,41,14.63%,2.88
Birthday party,41,9.76%,4.32
Camel,41,17.07%,2.88
Cleanliness,41,17.07%,3.8
cube cat,41,12.20%,1.8
Cube cat cone cat,41,12.20%,2.15
day and night,41,17.07%,3.2
Diary of a wimpy kid,41,36.59%,2.07
dusshera,41,24.39%,1.15
Farm animals,41,26.83%,3.88
Game,41,29.27%,2.95
Grandma's Glasses,41,9.76%,1.95
hindi level 3,41,9.76%,2.98
hope,41,9.76%,4.63
Just like me,41,21.95%,3.54
kannada books,41,43.90%,3.2
M,41,12.20%,2.32
magic letter,41,12.20%,2.63
Myself,41,12.20%,3.34
neighbourhood,41,17.07%,2.63
non fiction,41,26.83%,4.17
Poop,41,12.20%,2.93
rohini,41,19.51%,2.41
safety,41,14.63%,2.34
Sailing ships,41,19.51%,1.95
shadow,41,24.39%,2.22
snail,41,7.32%,2.37
stars,41,12.20%,2.37
STEM,41,17.07%,3.2
The adventures of the blues,41,24.39%,4.17
the girl who couldnt stop laughing,41,4.88%,4.71
The royal toothache,41,12.20%,3.49
The seed savers,41,9.76%,2.22
water cycle,41,17.07%,1.9
who made the tomato chutney,41,14.63%,2.95
wordless books,41,19.51%,5.63
Alisha berger,40,2.50%,2.65
bed time stories,40,10.00%,2.5
bees,40,20.00%,3.05
Best friend,40,12.50%,3.48
Bilingual,40,17.50%,3.08
building a building,40,10.00%,3.7
chaddi head,40,7.50%,2.1
chuchu,40,5.00%,2.3
circus,40,7.50%,2.28
comedy,40,10.00%,2.8
cyber,40,12.50%,2.1
Dino,40,12.50%,6.2
first house,40,15.00%,2
